LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,ROIL_LINF_PRUNE,ROIL_LIN_PRUNE,GAIL,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size,BC
-552.0398966708849,192.4934099887098,256.7392306118602,64.38063872033493,268.7820310388307,64.38063872052525,79.7502057072854,-417.6001536914278,477.67255033515903,2.5798304907360325,1983.414865783593,492.61891325965695,-698.292800951232,4600,219.97450865367765
-699.0597874431699,123.27115313795464,304.1809994932965,124.09543936916327,262.3001799615641,124.09543936907468,141.74395718463498,-361.0402027440739,431.9928779644248,2.5313470409140058,2127.416598479384,492.61891325965695,-698.292800951232,4600,218.41781609736708
-272.8678973385661,476.8942320670648,484.3250285791894,476.8942401414326,484.7067837665053,476.8942320670648,479.7513402224096,-425.6147972636956,485.6412001698256,2.7293986632957528,2077.799330890143,492.61891325965695,-698.292800951232,4600,219.1706638915482
-538.5807449060896,373.53268709675774,425.6415324384392,373.532687095647,425.7943089321107,373.53268709675774,393.7744287002222,-376.6736203106494,460.77421527592,0.2502358522790897,2932.838117453657,492.61891325965695,-698.292800951232,4600,214.89516884930117
-675.302662021256,286.8735568599645,329.88844505312386,171.14450241586334,329.88843827879185,171.14450241586334,196.923299103113,-474.72089169180106,387.30724296042376,2.6212657663314625,2329.4986728653626,492.61891325965695,-698.292800951232,5496,220.04139258718322
-800.0270164675014,-12.459192368165487,41.73059821819122,-438.10315305388326,-10.15740611243227,-438.1031530538796,-423.2797397840394,-309.40920461065485,467.6589120196806,2.776505474866,2196.1436818032216,492.61891325965695,-698.292800951232,5496,219.6200569005597
-688.1511635289362,417.1122778365826,455.9650351877309,417.1122778365826,453.8423230352457,417.1122778365776,427.83554558902426,-274.7557481798899,466.0032072055817,2.674970177548297,3322.0876212585445,492.61891325965695,-698.292800951232,5496,221.05935119974725
-846.0087872511002,452.919864759342,471.5986626411019,452.919864759342,471.5986818944938,452.9198648952005,455.9284443452188,-518.2031004295716,484.976522044289,1.8790331192229173,4312.454452021757,492.61891325965695,-698.292800951232,5496,219.83793419356573
-861.918844930351,-175.96842770017815,135.039912959511,-175.9684276981672,-27.843338216533887,-175.96842770017815,-16.479930675981493,-675.4622408675958,281.587445781219,2.4071974815127533,2156.3556558352243,492.61891325965695,-698.292800951232,5496,219.58738811474342
-559.0395556976941,347.4688824424726,416.2788465349079,347.46888242489365,416.2788400832234,347.46888242489365,355.35279995519494,-258.1677237752201,472.83438865812775,2.2505274746757147,2676.581146028685,492.61891325965695,-698.292800951232,5496,219.10222378375994
-432.2669080438501,79.60647910487792,251.1328359638187,79.60647910601267,203.7295346041004,79.60647910215333,155.63906688203616,-488.7103230090148,350.85295715313424,0.156477018420304,1661.451674555002,492.61891325965695,-698.292800951232,5496,218.38051309444498
-758.886269291117,392.8994834788429,440.5400886248624,392.8994833734701,438.1527339836389,392.8994834788429,419.6843538383822,-390.0323858574372,454.24795048866906,0.2061723480209063,3797.5058658613416,492.61891325965695,-698.292800951232,5496,218.29147561461357
-881.7743525950174,434.12978291105486,461.4088547785907,434.12978291105486,461.4365039980773,434.12978291105486,440.1434673560698,-532.3006103899806,473.043602705069,2.734928280116053,4247.034815085723,492.61891325965695,-698.292800951232,5496,219.2172794154716
-598.8171936226508,471.41494210515737,465.6859808850482,443.0163161782636,465.6859808844482,443.016316178609,449.3730264638193,-398.0734140537101,480.6482916106579,2.611226909157557,2851.0452231669224,492.61891325965695,-698.292800951232,5496,220.74991176176349
-604.8076098561864,476.306239014194,484.1983431482371,476.306239014194,484.1983388210904,476.306239014194,479.4183320016708,-649.8083856255403,479.2076816650503,0.4584690740077153,3261.845349132076,492.61891325965695,-698.292800951232,6400,219.32219360137384
-787.8021206826415,197.50566763397663,340.44724528653444,197.50566763388173,340.4472429430442,197.5056676325343,174.3094804092583,-195.24440081788188,455.1084934523258,2.749993480773863,2983.943217585914,492.61891325965695,-698.292800951232,6400,223.1479978675285
-605.4902277880451,478.7008603104812,485.2935875712678,478.7008603104812,485.1551591609054,478.7008603104812,480.58168767969335,-768.1678833020192,482.51737897870095,0.1630272451893134,2867.748435609802,492.61891325965695,-698.292800951232,6400,218.69610249076268
-676.5584790837559,470.7185465480758,483.8066866129489,470.71854654844793,483.8055375417262,470.71854654844793,478.0604065646969,-700.1425028067292,483.60984019238447,0.6941285287019976,3656.610327185029,492.61891325965695,-698.292800951232,6400,219.49269635183248
-647.8415755961075,305.13739844285976,387.8672417817886,305.13739844285976,387.7028787434067,305.1373984430932,355.4845936895779,-396.9294124160584,428.1395234518205,2.278999138158973,2787.54147402664,492.61891325965695,-698.292800951232,6400,217.5742079515951
-732.8864725987769,456.1858022521844,474.47813579858393,456.18580225308585,474.47813282299535,456.1858022519032,465.33457944137314,-455.0250918778096,477.8697336261317,0.0970990155188703,3979.846954546869,492.61891325965695,-698.292800951232,6400,219.10261364627365
-859.260412675987,455.03478684775934,472.2917544567888,455.0347868475565,470.6061583281708,455.03478684763024,455.51009570939743,-516.4568903729711,481.17011524542704,2.850528651835729,4142.227458176001,492.61891325965695,-698.292800951232,6400,220.80057428829568
-762.3939588178534,484.98423562489313,487.71113292715626,484.9842356230246,487.0591105430115,484.984232655935,486.4072278493184,-466.83810780279015,487.5262022900321,2.36217851518159,4038.809681757068,492.61891325965695,-698.292800951232,6400,220.61139859366588
-788.3290614950954,479.8833922425519,485.7636376535029,479.88339224041965,485.403551302318,479.8833922423863,481.273459512708,-478.2517825887525,489.3347200585616,0.0822645115157358,3947.348930232751,492.61891325965695,-698.292800951232,6400,219.72202643526865
-560.8845047445343,463.9621738034681,481.6742828290416,463.962173805737,481.67422473070656,463.9621738046799,465.2159232024552,-345.3016886749054,488.83397888203353,2.931071809375645,3252.2964100881723,492.61891325965695,-698.292800951232,6400,218.78406289757612
