LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,ROIL_LINF_PRUNE,ROIL_LIN_PRUNE,GAIL,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size
2861.9800074954924,2861.9800074954687,2494.532728449535,2856.9926932600583,2854.796534933773,2861.9800074947734,2494.5327284495197,2362.3782087664895,2415.2153913273846,1.1272629120986053,246.13252309935066,2908.571645456195,2317.653199382272,1897
2896.5589939278043,2893.3420991231733,2492.2536641886204,2864.715567189781,2862.7583189236116,2875.425217903453,2492.253664188617,2350.1036033167234,2408.635078964302,1.1274065881563788,336.81403841068027,2908.571645456195,2317.653199382272,1897
2895.3917462160844,2891.9274073273145,2445.3963945053056,2718.3927938360266,2747.9623695332048,2797.0736209361744,2445.3963945052947,2390.7578788253427,2377.491469248208,0.9399102338493442,1081.2969267402123,2908.571645456195,2317.653199382272,2800
2887.5472675215333,2891.5990142827245,2458.021354655638,2660.870540290112,2695.6948977805696,2730.2186992170864,2458.021354655641,2360.174988872585,2379.72083324294,1.1273818655644603,1532.8792786459094,2908.571645456195,2317.653199382272,2800
2891.1735786645595,2887.995649110497,2487.007224520121,2863.4446716012217,2862.0544193089554,2887.6497406363274,2487.0072245201573,2350.317322196914,2491.5576033576563,1.1273753050512163,209.34269198847528,2908.571645456195,2317.653199382272,2800
2887.5472675215333,2892.489718196364,2470.3780780030206,2738.973717633744,2739.3111035869815,2782.7316762735545,2470.3780780030347,2393.5705560554816,2452.361908799937,1.1273693919381578,961.7665804247948,2908.571645456195,2317.653199382272,2800
2887.5472675215333,2892.9690645391984,2517.3728083995716,2858.745246943647,2838.8383497118894,2837.6769355517945,2517.3728083996857,2338.044291209492,2525.04255086822,1.1273821739265577,512.9736072371012,2908.571645456195,2317.653199382272,2800
2895.5245208189854,2894.4552182486545,2444.331254177337,2788.864466071187,2791.504452421569,2878.196511481423,2444.331254177334,2316.5069036905657,2394.336469853355,0.9399102324943626,642.8227842881272,2908.571645456195,2317.653199382272,2800
2887.5472675215333,2892.947340924531,2453.125688912766,2795.5578142306063,2804.9473477920865,2802.637928796849,2453.1256889231813,2335.930830431121,2348.4882843051014,1.1150577580503966,665.0258811279647,2908.571645456195,2317.653199382272,2800
2897.491363361341,2895.539907211207,2491.7837402182345,2896.3844240746957,2898.0493624764467,2877.6123352891145,2491.783740218229,2403.210138842428,2467.2517564653353,1.1273742673009186,249.07510758644426,2908.571645456195,2317.653199382272,2800
2894.35684371842,2894.6235973065695,2434.5381183834384,2807.670364859894,2792.357296676525,2882.95611490962,2434.5381183821123,2374.991517486734,2366.9063723491495,0.9399102774836057,397.65050662578096,2908.571645456195,2317.653199382272,2800
2901.196750135501,2898.4593860667337,2527.6935384596677,2891.398308409326,2889.7083861884294,2898.7536650632414,2527.693538457946,2400.1245376130023,2451.4434089778433,1.1272492783529457,84.17699477850134,2908.571645456195,2317.653199382272,2800
2899.7801776449096,2899.5950945376007,2449.315937343671,2765.522219634503,2767.5980001118332,2868.010181238547,2449.3159373437175,2383.931525820743,2392.57932171559,0.9399102338501106,897.0976404799762,2908.571645456195,2317.653199382272,3696
2887.5472675215333,2893.3992134078912,2509.8370444025154,2783.859576051452,2760.680143545186,2780.382984974662,2509.8370444162465,2356.1530901043957,2495.4609588179273,1.1272469150384576,1130.5635212824475,2908.571645456195,2317.653199382272,3696
2895.26123090957,2898.427147507112,2553.764759593876,2777.5915739390784,2789.234447328595,2816.3389515945582,2553.7647595915523,2387.4679118117097,2608.43059812722,0.7510740834556756,820.1925101888653,2908.571645456195,2317.653199382272,3696
2900.1056123013896,2898.336021441396,2470.4782784364997,2893.7181421391174,2890.5217151892807,2877.7091013616946,2470.4782784366453,2360.3625617012244,2472.4426787272596,1.1273584460720807,263.3012785954364,2908.571645456195,2317.653199382272,3696
2887.5472675215333,2893.5724972151756,2480.86877683149,2821.1712206042184,2819.862085970326,2785.597849686211,2480.868776831425,2348.1510790981165,2548.431549479967,1.1273608978441765,623.4895971551962,2908.571645456195,2317.653199382272,3696
2887.5472675215333,2893.9748777082423,2514.560779619546,2880.5756798943694,2851.207129358827,2812.437517274747,2514.560779577819,2378.940770222049,2428.3189657177522,1.1274103345824464,456.70985663483475,2908.571645456195,2317.653199382272,3696
2887.5472675215333,2897.744126687411,2567.410603174637,2719.290377336268,2762.5316576508694,2758.50907919254,2567.4106031895026,2394.3166266683616,2571.521490384551,0.5389389118099478,1008.4243002180267,2908.571645456195,2317.653199382272,3696
2897.061770722091,2896.9837635927825,2462.695238846354,2803.3052514530586,2796.8931905215977,2875.048323646407,2462.6952388466116,2344.857349507615,2401.1781154464234,0.9399102714301311,385.73056354036055,2908.571645456195,2317.653199382272,3696
2891.376630249924,2887.3726845776127,2439.68097465027,2851.7318512091365,2847.374625347513,2869.276031763713,2439.680974650305,2372.937701053103,2370.451347655433,0.9399103475901763,438.8087405051533,2908.571645456195,2317.653199382272,3696
2887.5472675215333,2894.4062152796087,2530.825746236539,2672.8944983533656,2727.471721517716,2691.1681953827356,2530.825746152696,2389.7587090913894,2488.738433932622,1.1272658855329283,1400.564423847337,2908.571645456195,2317.653199382272,3696
2896.265782695166,2894.8677697238345,2450.399128625478,2818.734041746286,2821.004878784117,2877.8624744313747,2450.399128625724,2348.5440638010073,2393.656468264033,0.939910233853417,582.6824490181746,2908.571645456195,2317.653199382272,4600
2887.5472675215333,2894.6491313034976,2519.753185237977,2720.9114622429843,2756.141785238565,2780.9830778308014,2519.7531852307584,2362.1649579407012,2417.2136995263977,1.1145310943755957,1035.5550051659816,2908.571645456195,2317.653199382272,4600
2904.9927437270762,2905.719498455385,2551.4280121233055,2839.896457070601,2830.514473289801,2877.519122461589,2551.428012123308,2367.0033169328894,2541.807830492151,1.1273285081450557,355.43571840803475,2908.571645456195,2317.653199382272,4600
2887.5472675215333,2893.3639376386977,2475.7242221987804,2784.574787046209,2816.455177217524,2827.8670982122067,2475.724222198825,2393.0292232644015,2387.1062562852017,0.9399103458814747,669.1825807807297,2908.571645456195,2317.653199382272,4600
2903.0719483165467,2902.9698158807187,2439.8974690909686,2787.6469729291675,2791.950398408113,2854.273454433157,2439.8974690901077,2385.020994566,2382.8114990926388,0.9399102326025889,614.2924144027077,2908.571645456195,2317.653199382272,4600
2887.5472675215333,2894.3046615755966,2544.9029133587273,2757.6499677503757,2757.0503243571125,2796.898372067544,2544.9029133585864,2402.104581570612,2456.7797437510526,1.1273228350274125,802.0762527716606,2908.571645456195,2317.653199382272,4600
2901.695534800213,2898.8197654852243,2477.154919628998,2847.285034656983,2847.3974914760074,2869.763732107204,2477.154919628161,2388.09793500777,2382.414704547415,1.1240128690104412,355.0697503414502,2908.571645456195,2317.653199382272,4600
